player_name,start_date,tournament_id,tournament_name,event_type,tournament_start_date,course_name,round_id,green_id,green_name,hole_number,gir,par_round,sand,score,putts,in_position,tee_ball_location,approach_distance,putt_one_distance,putt_two_distance,putt_three_distance,putt_four_distance,putt_five_distance,second_shot,gir_of_third,go_for_location,lay_up_location,ball_position_x,ball_position_y,unit_system,distance_of_third,in_position_of_third,score_diff,scores_name,par_distance,yardage,shot,starting_distance
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36068,Hole 18,18,False,4,False,5,3,True,fairway,130.0,30,5.0,1.0,,,,,,,0.953846153846154,0.6333333333333333,imperial,,,1,bogey,4,429,1,429.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36067,Hole 17,17,True,3,,3,2,True,,190.0,9,3.0,,,,,,,,0.717948717948718,0.6538461538461539,imperial,,,0,par,3,0,1,190.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36066,Hole 16,16,False,4,True,4,1,False,fairway,190.0,4,,,,,,,,,,,imperial,,,0,par,4,452,1,452.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36065,Hole 15,15,False,4,True,5,2,True,fairway,190.0,6,1.0,,,,,,,,0.7461538461538462,0.8538461538461538,imperial,,,1,bogey,4,455,1,455.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36064,Hole 14,14,,5,,6,2,,penalty,,7,3.0,,,,,,,,0.7512820512820513,0.9230769230769232,imperial,,,1,bogey,5,528,1,528.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36063,Hole 13,13,True,3,,3,2,True,,160.0,30,3.0,,,,,,,,0.3025641025641025,0.958974358974359,imperial,,,0,par,3,0,1,160.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36062,Hole 12,12,True,5,,4,2,True,fairway,250.0,28,1.0,,,,goFor,,,,0.6564102564102564,0.7025641025641025,imperial,,,-1,birdie,5,596,1,596.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36061,Hole 11,11,True,4,,4,2,True,fairway,160.0,10,1.0,,,,,,,,0.4282051282051282,0.2846153846153846,imperial,,,0,par,4,412,1,412.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36060,Hole 10,10,True,4,,4,2,True,fairway,96.0,16,3.0,,,,,,,,0.5769230769230769,0.3769230769230769,imperial,,,0,par,4,424,1,424.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36059,Hole 9,9,True,5,,4,1,True,fairway,220.0,4,,,,,goFor,,,,0.4025641025641026,0.8076923076923077,imperial,,,-1,birdie,5,561,1,561.0
